87efddd312eb3b9a29bfb30223f61b062b64b7a7	feat(scope): add immutable scope references
dbbf03c854f21887a48c0d71d394f48a9e7d992b	feat(scope): separate scope admission labels from queue state
e8505ba827a3f63ab91aa13842249b5219d7b03a	feat(config): configure scope labels and prompt bindings (KOD-378)
d2533aa7d045c30e0338f20396bb2b316850a8c2	docs(tracker): state notification observability boundary (KOD-392)
f9c46fc946a8d0beaad3ae7fe05149e61c8fe07d	feat(tracker): instate scope label definitions (KOD-379)
a35a00a1f139b3d89e6c844575e40066e731686c	feat(scope): resolve live membership with consistency checks (KOD-374)
0fad68b5dea08cb79ebff9de840238369b33007d	feat(scope): add shared resolver foundation (KOD-370)
5514b8d959a694f9985f27980a40ef1dd1779400	feat(api): carry validated scope through workflow submission (KOD-389)
7decf5c2f7eb865a6bf8c581f592ad82df412ea3	feat(forge): add head PR lookup and branch browser queries (KOD-646)
2b60dc4332174b8ccfbbc6652c31f397b704e35f	feat(spec): add frozen authored and tracker fire sources (KOD-410)
3c4327222a69ec58744c375ba5060dc8b711e61c	feat(spec): render both fire sources through a total formatter (KOD-412)
7e294fefd8bd31b2b9dbeae477d6a6334955a7e0	test(spec): enforce formatter purity at its static boundary (KOD-414)
f286a9c29e6b5e23e9e353e1dac9c10eb38dc5e2	feat(domain): add writable surface addresses (KOD-383)
7ab36558e6f4a21e612cd0eeda71f96756dfbdc2	feat(config): expose write surface lease duration (KOD-387)
aa25c4c3d355fe6d6225fd7806ce677fc67547e0	feat(domain): define primitive write lease errors (KOD-386)
8212725fdf8ea035399a68b90940d4b0876905fb	feat(tracker): upsert comments by unique first-line marker (KOD-642)
09ed60451f43ba3abee2afe773d0660392d334a7	feat(tracker): assert description anchors before editing (KOD-644)
45a074ae4ffd8ef28f245b44e386a20393412208	fix(tracker): skip matching label and state writes (KOD-647)
43160c3eaf42b6c9634ab49ea22f96a286bcae17	feat(organize): preserve three-state admission verdicts (KOD-334)
cb4628d8feff8eabb5820cf83ac54eb8928decba	fix(tracker): match comment first lines across line endings (KOD-642)
95283629715269a60f4a5c7edefed4025315e327	feat(organize): validate actionable admission refusals (KOD-335)
b699f9a811541867a2ea4b1617755d8dfba3b231	feat(config): bound organize admission and convergence rounds (KOD-340)
dc0ec18f7e4afadfd81eccb7e7dcaa972f7a738c	docs(forge): document the query port and adapter (KOD-646)
